"More info","More info"
"Product with %s not found.","Product with %s not found."
"Product not found","Product not found"
"Libreka product is already exists.","Libreka product is already exists."
"Missing provider name.","Missing provider name."
"Device’s QR Code is in the e-reader’s settings","Device’s QR Code is in the e-reader’s settings"
"Insert the device serial number (available under Settings -> Device informations)","Insert the device serial number (available under Settings -> Device informations)"
"Device serial number","Device serial number"
"Device nickname","Device nickname"
"Add device","Add device"
"Personal Area","Personal Area"
"Open in Cloud","Open in Cloud"
"Book title","Book title"
"Author name","Author name"
"DRM Info","DRM Info"
"Open in app","Open in app"
"Download","Download"
"Open my Cloud","Open my Cloud"
"Hi ","Hi "
"Content and Devices","Content and Devices"
"Books and other contents","Books and other contents"
"Devices","Devices"
"Wishlist","Wishlist"
"Orders","Orders"
"Link your account","Link your account"
"Unlink your account","Unlink your account"
"Buy","Buy"
"Your message has been successfully sent","Your message has been successfully sent"
"File size must be less than 50Mb!","File size must be less than 50Mb!"
"Any questions?","Any questions?"
"Please fill in the form","Please fill in the form"
"device model","device model"
"Name","Name"
"Email","Email"
"Questions","Questions"
"Choose a file","Choose a file"
"File extensions: JPEG, PNG, GIF.","File extensions: JPEG, PNG, GIF."
"Send","Send"
"Rechnung","Rechnung"
"Lieferadresse","Lieferadresse"
"Rechnungsdatum","Rechnungsdatum"
"Belegnummer","Belegnummer"
"%s Stck","%s Stck"
"EUR pro Stck","EUR pro Stck"
Lieferschein,Lieferschein
"Position %s","Position %s"
"Zwischensumme","Zwischensumme"
"MwSt. von","MwSt. von"
"Zahlungsbedingung","Zahlungsbedingung"
"Lieferbedingung","Lieferbedingung"
"Ihre Kunden-Nr.","Ihre Kunden-Nr."
"Ansprechpartner","Ansprechpartner"
"E-Mail-Adresse","E-Mail-Adresse"
"Anschrift","Anschrift"
"Kommunikation","Kommunikation"
"Bankverbindung","Bankverbindung"
"Geschäftsführer","Geschäftsführer"
"Position","Position"
"Bezeichnung","Bezeichnung"
"Artikelnummer","Artikelnummer"
"Menge","Menge"
"Einzelpreis","Einzelpreis"
"Gesamtpreis","Gesamtpreis"
"name","name"
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Write Your Own Review","Write Your Own Review"
"* Required Fields","* Required Fields"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Nickname","Nickname"
"Summary","Summary"
"Review","Review"
"Submit Review","Submit Review"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Reviews","Reviews"
"Write review","Write review"
"Customer Care","Customer Care"
"Report bad quality/formatting","Report bad quality/formatting"
"Report inappropriate book","Report inappropriate book"
"Copyrights violation","Copyrights violation"
"View All","View All"
"Order #","Order #"
"Order status:","Order status:"
"Purchased on:","Purchased on:"
"Ship to:","Ship to:"
"View","View"
"Reorder","Reorder"
"You have placed no orders.","You have placed no orders."
"Items Ordered","Items Ordered"
"Gift Message","Gift Message"
"Close","Close"
"From","From"
"To","To"
"SKU","SKU"
"Ordered","Ordered"
"Shipped","Shipped"
"Canceled","Canceled"
"Refunded","Refunded"
"Subtotal:","Subtotal:"
"Return Item","Return Item"
"You're reviewing:","You're reviewing:"
"Read in App","Read in App"
"<span class=""text-sm"">Ordered on</span> %1","<span class=""text-sm"">Ordered on</span> %1"
"<span class=""text-sm"">Refundable until</span> %1","<span class=""text-sm"">Refundable until</span> %1"
"Save Cart","Save Cart"
"Delete Cart","Delete Cart"
"Customer ID","Customer ID"
"First Name","First Name"
"Last Name","Last Name"
"Cart","Cart"
"Status","Status"
"Subject","Subject"
"Email setting","Email setting"
"Product ID","Product ID"
"Sku","Sku"
"Your cart is disabled","Your cart is disabled"
"The cart has been deleted.","The cart has been deleted."
"We can't find a cart to delete.","We can't find a cart to delete."
"This cart not exists.","This cart not exists."
"Edit Cart","Edit Cart"
"New Cart","New Cart"
"Prepended Carts","Prepended Carts"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disable.","A total of %1 record(s) have been disable."
"A total of %1 record(s) have been enable.","A total of %1 record(s) have been enable."
"A total of %1 record(s) have been send.","A total of %1 record(s) have been send."
"You saved this cart.","You saved this cart."
"Something went wrong while saving the cart.","Something went wrong while saving the cart."
"The cart has been sent.","The cart has been sent."
"We can't find a cart to send.","We can't find a cart to send."
"Not Finished Carts","Not Finished Carts"
"Enabled","Enabled"
"Disabled","Disabled"
"Could not save cart: %1!","Could not save cart: %1!"
"Cart with cart id ""%1"" does not exist!","Cart with cart id ""%1"" does not exist!"
"Could not delete cart: %1!","Could not delete cart: %1!"
"API","API"
"SMTP","SMTP"
"Without template","Without template"
"Global Unsubscribe","Global Unsubscribe"
"Edit","Edit"
"Delete","Delete"
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Upload","Upload"
"Delete image","Delete image"
"Pay Now","Pay Now"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"None","None"
"Quantity","Quantity"
"Choose a selection...","Choose a selection..."
"Please type the letters","Please type the letters"
"Thriller Collection","Thriller Collection"
"Compare Products:","Compare Products:"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Sorty by","Sorty by"
"Special Price","Special Price"
"Read a free sample","Read a free sample"
"You need to install app to read free sample","You need to install app to read free sample"
"Book type: ","Book type: "
"E-book type: ","E-book type: "
"Product status: ","Product status: "
"My Cart","My Cart"
"Your order has been placed","Your order has been placed"
"We’ve sent you a confirmation e-mail","We’ve sent you a confirmation e-mail"
"Order placed by mistake?","Order placed by mistake?"
"Click to undo","Click to undo"
"Create an account to access your content","Create an account to access your content"
"Create an account to save this order and start reading now.","Create an account to save this order and start reading now."
"Create account","Create account"
"You are ready to read!","You are ready to read!"
"Purchased contents are syncing to your devices and Pocketbook cloud","Purchased contents are syncing to your devices and Pocketbook cloud"
"Read online","Read online"
"Your orders","Your orders"
"Create Account","Create Account"
"Share","Share"
"Change","Change"
"Contact Information","Contact Information"
"Change password","Change password"
"Newsletters","Newsletters"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"Add new address","Add new address"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Modify","Modify"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Default Shipping Address","Default Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Address","Address"
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
"City","City"
"State/Province/Region","State/Province/Region"
"Please select a region, state or province.","Please select a region, state or province."
"ZIP","ZIP"
"Country","Country"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Profile","Profile"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
"Current Password","Current Password"
"Change Email","Change Email"
"Change Password","Change Password"
"Go back","Go back"
"Change Email and Password","Change Email and Password"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Sign in by email","Sign in by email"
"Password","Password"
"Sign In","Sign In"
"Forgot password?","Forgot password?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Back","Back"
"Register by email","Register by email"
"Address Information","Address Information"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Confirm Password","Confirm Password"
"I accept and agree to the terms and conditions","I accept and agree to the terms and conditions"
"Register","Register"
"Already have an account?","Already have an account?"
"Sign in","Sign in"
"Set a New Password","Set a New Password"
"Company","Company"
"Phone Number","Phone Number"
"Newsletter","Newsletter"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Subscribe","Subscribe"
"Recently viewed","Recently viewed"
"Add to Compare","Add to Compare"
"My Recent Reviews","My Recent Reviews"
"See full","See full"
"Rating","Rating"
"rating,","rating,"
"ratings,","ratings,"
"review","review"
"reviews","reviews"
"Be the first to review this product","Be the first to review this product"
"Back to ","Back to "
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Payment Method","Payment Method"
"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"Print Order","Print Order"
"Download PDF","Download PDF"
"Shipping status","Shipping status"
"Recent Orders","Recent Orders"
"Date","Date"
"Ship To","Ship To"
"Order Total","Order Total"
"Action","Action"
"Actions","Actions"
"View Order","View Order"
"Gift Message for This Order","Gift Message for This Order"
"Search","Search"
"Get the hottest news","Get the hottest news"
"Want to get books we think you love?","Want to get books we think you love?"
"Subscribe to newsletter and receive every week the latest news about them","Subscribe to newsletter and receive every week the latest news about them"
"Language:","Language:"
"E-readers","E-readers"
"Hi %1","Hi %1"
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
"Page","Page"
"First page","First page"
"Previous","Previous"
"Page ","Page "
"Next","Next"
"Last page","Last page"
"Show","Show"
"per page","per page"
"Add new payment","Add new payment"
"Select currency","Select currency"
"Full name","Full name"
"Card Number","Card Number"
"Month","Month"
"Year","Year"
"Availability","Availability"
"Remove Item","Remove Item"
"This Wish List has no Items","This Wish List has no Items"
"Last Added Items","Last Added Items"
"Remove This Item","Remove This Item"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Register with a social network","Register with a social network"
"Login By %1","Login By %1"
"matteo.petrani@lorem.ipsum","matteo.petrani@lorem.ipsum"
"apps-send-link","apps-send-link"
"Send me a link","Send me a link"
"No results :(","No results :("
"Did you mean","Did you mean"
"[suggested query]","[suggested query]"
"Results","Results"
"Firmware update","Firmware update"
"You haven't devices.","You haven't devices."
"sample","sample"
"Select all","Select all"
"Unselect all","Unselect all"
"Popular categories","Popular categories"
"Mystery","Mystery"
"Romance","Romance"
"Fantasy","Fantasy"
"Nonfiction","Nonfiction"
"Kids","Kids"
"Biographies","Biographies"
"Business","Business"
"Political","Political"
"Comics","Comics"
"Drama","Drama"
"Petry","Petry"
"History","History"
"Filters","Filters"
"Category","Category"
"Back to list","Back to list"
"0 results","0 results"
"Apply","Apply"
"Search..","Search.."
"By requesting the deletion of your account, you will have <b>%1 hours</b> to change your mind and cancel your deletion request.","By requesting the deletion of your account, you will have <b>%1 hours</b> to change your mind and cancel your deletion request."
"For legal reasons, your orders can not be deleted before the applicable legal retention period.","For legal reasons, your orders can not be deleted before the applicable legal retention period."
"Please enter your password to request the deletion of your account.","Please enter your password to request the deletion of your account."
"Delete My Account","Delete My Account"
"You can request for an export of all your personal data in <b>ZIP</b> format.","You can request for an export of all your personal data in <b>ZIP</b> format."
"Be careful to save the file, you can do an export request only once per <b>%1 hours</b>.","Be careful to save the file, you can do an export request only once per <b>%1 hours</b>."
"You have made your last export request at <b>%1</b>.","You have made your last export request at <b>%1</b>."
"You can not request for a new personal data export yet.","You can not request for a new personal data export yet."
"Please enter your password to download a copy of your personal data.","Please enter your password to download a copy of your personal data."
"Download My Personal Data","Download My Personal Data"
"Please wait...","Please wait..."
"save ","save "
"A short description of the products offered","A short description of the products offered"
"Add all to wish list","Add all to wish list"
" items"," items"
"Sub total:","Sub total:"
"Add all three to cart","Add all three to cart"
"Chosen","Chosen"
"See Details","See Details"
"Options Details","Options Details"
"Update","Update"
"No Payment method available.","No Payment method available."
"Oops! We're sorry. ","Oops! We're sorry. "
"Page not found.","Page not found."
"Back to Home","Back to Home"
"The PocketBook company ranks fourth in the world among the manufacturers of premium e-book readers based on e-ink (""electronic paper"") as well as multimedia readers and tablet computers running the Android operating system.","The PocketBook company ranks fourth in the world among the manufacturers of premium e-book readers based on e-ink (""electronic paper"") as well as multimedia readers and tablet computers running the Android operating system."
"Founded in 2007, PocketBook is headquartered in Lugano, Switzerland and sells its products in 32 countries worldwide.","Founded in 2007, PocketBook is headquartered in Lugano, Switzerland and sells its products in 32 countries worldwide."
"The well-rehearsed team of PocketBook employees guarantees the high quality and exclusivity of the products, offers perfection down to the smallest detail and always meets all the requirements that customers place on modern reading.","The well-rehearsed team of PocketBook employees guarantees the high quality and exclusivity of the products, offers perfection down to the smallest detail and always meets all the requirements that customers place on modern reading."
"In an effort to provide customers with the best products, the company has built several business units focused on developing and maintaining the equipment, developing unique reader software, and building an online platform to conveniently search for the best electronic content are.","In an effort to provide customers with the best products, the company has built several business units focused on developing and maintaining the equipment, developing unique reader software, and building an online platform to conveniently search for the best electronic content are."
"The company occupies a leading position in the market and offers excellent customer service. Last but not least, the 130 PocketBook service centers distributed throughout the globe ensure this. Comprehensive warranty commitments beyond the legal requirements, the company understands as part of its corporate philosophy.","The company occupies a leading position in the market and offers excellent customer service. Last but not least, the 130 PocketBook service centers distributed throughout the globe ensure this. Comprehensive warranty commitments beyond the legal requirements, the company understands as part of its corporate philosophy."
"In relation to the clearly defined mission of the company, the company PocketBook - in addition to its core business - is pursuing three ambitious projects aimed at promoting reading. For example, the e-book provider offers ""BookLand"", a company-owned electronic content store, ""ReadRate"" a search and referral service, those who enjoy reading, and ""KidRead"", a unique software for children To inspire reading. At the same time, this program helps the young readership to continuously study and constantly review literary knowledge.","In relation to the clearly defined mission of the company, the company PocketBook - in addition to its core business - is pursuing three ambitious projects aimed at promoting reading. For example, the e-book provider offers ""BookLand"", a company-owned electronic content store, ""ReadRate"" a search and referral service, those who enjoy reading, and ""KidRead"", a unique software for children To inspire reading. At the same time, this program helps the young readership to continuously study and constantly review literary knowledge."
"To date, the company has presented more than 30 models of e-ink readers and multimedia tablets on the world market. The big part The majority of the products can be understood as innovative innovations in the field of electronic readers, which receive regular awards. All in all, the company has so far received 10 globally respected prizes - including the acknowledged international ""Red Dot Design Award"".","To date, the company has presented more than 30 models of e-ink readers and multimedia tablets on the world market. The big part The majority of the products can be understood as innovative innovations in the field of electronic readers, which receive regular awards. All in all, the company has so far received 10 globally respected prizes - including the acknowledged international ""Red Dot Design Award""."
"Pocketbook Readers GmbH","Pocketbook Readers GmbH"
"Phone:","Phone:"
"Service","Service"
"free from the German landline","free from the German landline"
"Press contact in German and French","Press contact in German and French"
"E-Mail:","E-Mail:"
"Press contact in English and Russian","Press contact in English and Russian"
"Fax:","Fax:"
"Managing Director","Managing Director"
"Email:","Email:"
"Information for mass media representatives","Information for mass media representatives"
"We recommend our","We recommend our"
"PPS system","PPS system"
"easyWinArt for your business processes.","easyWinArt for your business processes."
"Disclaimer","Disclaimer"
"Source:","Source:"
"Internet law by lawyer","Internet law by lawyer"
"Liability for content","Liability for content"
"The contents of our pages were created with great care , However, we can not assume any liability for the accuracy, completeness and timeliness of the content.","The contents of our pages were created with great care , However, we can not assume any liability for the accuracy, completeness and timeliness of the content."
"As a service provider we are responsible according to § 7 Abs.1 TMG for own contents on these sides according to the general laws. According to §§ 8 to 10 TMG, however, we as a service provider are not obliged to monitor transmitted or stored external information or to investigate circumstances that indicate an illegal activity. Obligations to remove or block the use of information under general law remain unaffected. A liability in this regard, however, is only possible from the date of knowledge of a specific infringement. If we become aware of such violations, we will remove this content immediately.","As a service provider we are responsible according to § 7 Abs.1 TMG for own contents on these sides according to the general laws. According to §§ 8 to 10 TMG, however, we as a service provider are not obliged to monitor transmitted or stored external information or to investigate circumstances that indicate an illegal activity. Obligations to remove or block the use of information under general law remain unaffected. A liability in this regard, however, is only possible from the date of knowledge of a specific infringement. If we become aware of such violations, we will remove this content immediately."
"Liability for links","Liability for links"
"Our offer contains links to external websites of third parties on whose contents we have no influence. Therefore, we can not assume any liability for these external contents. The respective provider or operator of the pages is always responsible for the contents of the linked pages. The linked pages were checked for possible legal violations at the time of linking. Illegal content was not recognizable at the time of linking. However, a permanent content control of the linked pages is not reasonable without concrete evidence of an infringement. Upon notification of violations, we will remove such links immediately.","Our offer contains links to external websites of third parties on whose contents we have no influence. Therefore, we can not assume any liability for these external contents. The respective provider or operator of the pages is always responsible for the contents of the linked pages. The linked pages were checked for possible legal violations at the time of linking. Illegal content was not recognizable at the time of linking. However, a permanent content control of the linked pages is not reasonable without concrete evidence of an infringement. Upon notification of violations, we will remove such links immediately."
"Copyright","Copyright"
"The content and works on these pages created by the site operators are subject to German copyright law. The reproduction, processing, distribution and any kind of exploitation outside the limits of copyright require the written consent of the respective author or creator. Downloads and copies of this site are for private, non-commercial use only. As far as the contents on this side were not created by the operator, the copyrights of third parties are considered. In particular contents of third parties are marked as such. If you should still be aware of a copyright infringement, we ask for a note. Upon notification of violations, we will remove such content immediately.","The content and works on these pages created by the site operators are subject to German copyright law. The reproduction, processing, distribution and any kind of exploitation outside the limits of copyright require the written consent of the respective author or creator. Downloads and copies of this site are for private, non-commercial use only. As far as the contents on this side were not created by the operator, the copyrights of third parties are considered. In particular contents of third parties are marked as such. If you should still be aware of a copyright infringement, we ask for a note. Upon notification of violations, we will remove such content immediately."
"Data protection","Data protection"
"We point out that the data transmission in the Internet (eg in the communication by E-Mail) can exhibit security gaps. A complete protection of the data from access by third parties is not possible.","We point out that the data transmission in the Internet (eg in the communication by E-Mail) can exhibit security gaps. A complete protection of the data from access by third parties is not possible."
"The use of contact data published in the context of the imprint obligation by third parties for sending unsolicited advertising and information materials is hereby expressly excluded. The operators of the pages expressly reserve the right to take legal action in the event of the unsolicited sending of advertising information, such as spam e-mails.","The use of contact data published in the context of the imprint obligation by third parties for sending unsolicited advertising and information materials is hereby expressly excluded. The operators of the pages expressly reserve the right to take legal action in the event of the unsolicited sending of advertising information, such as spam e-mails."
"Place Order","Place Order"
"Email Address","Email Address"
"Forgot Your Password?","Forgot Your Password?"
"The invoice address is the same as the shipping one","The invoice address is the same as the shipping one"
"Cancel","Cancel"
"Save in address book","Save in address book"
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Login","Login"
"Discard","Discard"
"Ship to this address","Ship to this address"
"Shipping address","Shipping address"
"Reset your %store_name password","Reset your %store_name password"
"%name,","%name,"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Welcome to %store_name","Welcome to %store_name"
"Welcome to %store_name.","Welcome to %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
"Password:","Password:"
"Password you set when creating account","Password you set when creating account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it."
"If you have a trouble, please ","If you have a trouble, please "
"contact to us","contact to us"
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"Quick Checkout","Quick Checkout"
"Proceed through checkout faster","Proceed through checkout faster"
"Order Status","Order Status"
"Check the status of orders","Check the status of orders"
"Manage Addresses","Manage Addresses"
"Store alternative addresses","Store alternative addresses"
"For shipping to multiple family members and friends","For shipping to multiple family members and friends"
"Order History","Order History"
"View past orders","View past orders"
"Footer","Footer"
"Header","Header"
"Make Check payable to:","Make Check payable to:"
"Send Check to:","Send Check to:"
"Your %store_name order confirmation","Your %store_name order confirmation"
"Thank you for your order, %customer_name!","Thank you for your order, %customer_name!"
"Please note: the invoice for your order can be found in the attachment of this e-mail in PDF format. For example, use the free ","Please note: the invoice for your order can be found in the attachment of this e-mail in PDF format. For example, use the free "
"software to open your invoice. There is no separate invoice for the delivery.","software to open your invoice. There is no separate invoice for the delivery."
"Below we have listed your order again to confirm.","Below we have listed your order again to confirm."
"If you have questions we are always there for you: Just write to ","If you have questions we are always there for you: Just write to "
"We hope you enjoy your order and look forward to your next visit to ","We hope you enjoy your order and look forward to your next visit to "
"or a branch in your area.","or a branch in your area."
"Order number <span class=""no-link"">#%increment_id</span>","Order number <span class=""no-link"">#%increment_id</span>"
"DOWNLOAD YOUR ORDERED FILES HERE.","DOWNLOAD YOUR ORDERED FILES HERE."
"Your downloads (eBooks, coupons) can be found after completion of payment (this may take a few minutes) in the ","Your downloads (eBooks, coupons) can be found after completion of payment (this may take a few minutes) in the "
"My orders","My orders"
"PAYMENT:","PAYMENT:"
"E-MAIL ADDRESS:","E-MAIL ADDRESS:"
"THE SHIPMENT IS CARRIED OUT BY:","THE SHIPMENT IS CARRIED OUT BY:"
"ADRESSE:","ADRESSE:"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel coupon","Cancel coupon"
"results","results"
"Payment","Payment"
"Please specify a shipping method.","Please specify a shipping method."
"Save Address","Save Address"
"Rating:","Rating:"
"%1 finish reading this book","%1 finish reading this book"
"%1 people wants to read it","%1 people wants to read it"
"%1 people reading this book","%1 people reading this book"
"Serial number does not match to the standard","Serial number does not match to the standard"
"Show more","Show more"
"Show less","Show less"
"No value matching the search <b>%s</b>.","No value matching the search <b>%s</b>."
"Search (%s)","Search (%s)"
"Bundle Widget","Bundle Widget"
"Bundle for widget","Bundle for widget"
"It's banner in menu?","It's banner in menu?"
"Bundle Image Alt","Bundle Image Alt"
"Alt for bundle image","Alt for bundle image"
"Bundle Image Title","Bundle Image Title"
"Title for bundle image","Title for bundle image"
"Double Bundle Widget","Double Bundle Widget"
"First bundle for widget","First bundle for widget"
"Second bundle for widget","Second bundle for widget"
"Menu Banners CMS Block","Menu Banners CMS Block"
"Menu Products CMS Block","Menu Products CMS Block"
"Connect ReadRate reviews","Connect ReadRate reviews"
"Visible on","Visible on"
"Shipping Address","Shipping Address"
"Save Address","Save Address"
"Cancel","Cancel"
"Editorial Products","Editorial Products"
"Sort Products By Category","Sort Products By Category"
"Rendering products regarding chosen category","Rendering products regarding chosen category"
"Products Count","Products Count"
"Set products amount by category to display (show one item if not chosen)","Set products amount by category to display (show one item if not chosen)"
"Editorial Title","Editorial Title"
"Editorial Description","Editorial Description"
"Pocketbook Top Slider For Products","Pocketbook Top Slider For Products"
"Show First Banner","Show First Banner"
"Choose to show or not first product slide","Choose to show or not first product slide"
"Insert product url for first slide","Insert product url for first slide"
"Product Background Desktop Image","Product Background Desktop Image"
"Choose background desktop image for first slide","Choose background desktop image for first slide"
"Bundle Alt","Bundle Alt"
"Alt for background image","Alt for background image"
"Title for Bundle Image","Title for Bundle Image"
"1 Show Slide","1 Show Slide"
"Choose to show or not product slide","Choose to show or not product slide"
"1 Slide Product","1 Slide Product"
"Insert product url for slide","Insert product url for slide"
"1 Slide Product Title","1 Slide Product Title"
"Title for product slide","Title for product slide"
"1 Slide Product Background","1 Slide Product Background"
"Choose background desktop image for slide","Choose background desktop image for slide"
"1 Slide Alt","1 Slide Alt"
"Alt for product slide","Alt for product slide"
"1 Slide Image Title","1 Slide Image Title"
"Title for 1 Slide Image","Title for 1 Slide Image"
"2 Show Slide","2 Show Slide"
"2 Slide Product","2 Slide Product"
"2 Slide Product Title","2 Slide Product Title"
"2 Slide Product Background","2 Slide Product Background"
"2 Slide Alt","2 Slide Alt"
"2 Slide Image Title","2 Slide Image Title"
"Title for 2 Slide Image","Title for 2 Slide Image"
"3 Show Slide","3 Show Slide"
"3 Slide Product","3 Slide Product"
"3 Slide Product Title","3 Slide Product Title"
"3 Slide Product Background","3 Slide Product Background"
"3 Slide Alt","3 Slide Alt"
"3 Slide Image Title","3 Slide Image Title"
"Title for 3 Slide Image","Title for 3 Slide Image"
"4 Show Slide","4 Show Slide"
"4 Slide Product","4 Slide Product"
"4 Slide Product Title","4 Slide Product Title"
"4 Slide Product Background","4 Slide Product Background"
"4 Slide Alt","4 Slide Alt"
"4 Slide Image Title","4 Slide Image Title"
"Title for 4 Slide Image","Title for 4 Slide Image"
"5 Show Slide","5 Show Slide"
"5 Slide Product","5 Slide Product"
"5 Slide Product Title","5 Slide Product Title"
"5 Slide Product Background","5 Slide Product Background"
"5 Slide Alt","5 Slide Alt"
"5 Slide Image Title","5 Slide Image Title"
"Title for 5 Slide Image","Title for 5 Slide Image"
"6 Show Slide","6 Show Slide"
"6 Slide Product","6 Slide Product"
"6 Slide Product Title","6 Slide Product Title"
"6 Slide Product Background","6 Slide Product Background"
"6 Slide Alt","6 Slide Alt"
"6 Slide Image Title","6 Slide Image Title"
"Title for 6 Slide Image","Title for 6 Slide Image"
"7 Show Slide","7 Show Slide"
"7 Slide Product","7 Slide Product"
"7 Slide Product Title","7 Slide Product Title"
"7 Slide Product Background","7 Slide Product Background"
"Choose bundle background desktop image for slides","Choose bundle background desktop image for slides"
"7 Slide Alt","7 Slide Alt"
"7 Slide Image Title","7 Slide Image Title"
"Title for 7 Slide Image","Title for 7 Slide Image"
"8 Show Slide","8 Show Slide"
"8 Slide Product","8 Slide Product"
